sample-id,absolute-filepath,direction
HH1.N1.AK,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/HH1_N1_AK.1.fq,forward
HH1.N1.AK,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/HH1_N1_AK.2.fq,reverse
HH1.N2.AK,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/HH1_N2_AK.1.fq,forward
HH1.N2.AK,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/HH1_N2_AK.2.fq,reverse
HH1.N3.AK,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/HH1_N3_AK.1.fq,forward
HH1.N3.AK,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/HH1_N3_AK.2.fq,reverse
HH1.N4.AK,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/HH1_N4_AK.1.fq,forward
HH1.N4.AK,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/HH1_N4_AK.2.fq,reverse
HH1.N1.AKR,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/HH1_N1_AKR.1.fq,forward
HH1.N1.AKR,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/HH1_N1_AKR.2.fq,reverse
HH1.N2.AKR,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/HH1_N2_AKR.1.fq,forward
HH1.N2.AKR,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/HH1_N2_AKR.2.fq,reverse
HH1.N3.AKR,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/HH1_N3_AKR.1.fq,forward
HH1.N3.AKR,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/HH1_N3_AKR.2.fq,reverse
HH1.N4.AKR,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/HH1_N4_AKR.1.fq,forward
HH1.N4.AKR,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/HH1_N4_AKR.2.fq,reverse
SC1.N1.AK,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/SC1_N1_AK.1.fq,forward
SC1.N1.AK,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/SC1_N1_AK.2.fq,reverse
SC1.N2.AK,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/SC1_N2_AK.1.fq,forward
SC1.N2.AK,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/SC1_N2_AK.2.fq,reverse
SC1.N3.AK,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/SC1_N3_AK.1.fq,forward
SC1.N3.AK,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/SC1_N3_AK.2.fq,reverse
SC1.N4.AK,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/SC1_N4_AK.1.fq,forward
SC1.N4.AK,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/SC1_N4_AK.2.fq,reverse
SC1.N1.AKR,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/SC1_N1_AKR.1.fq,forward
SC1.N1.AKR,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/SC1_N1_AKR.2.fq,reverse
SC1.N2.AKR,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/SC1_N2_AKR.1.fq,forward
SC1.N2.AKR,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/SC1_N2_AKR.2.fq,reverse
SC1.N3.AKR,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/SC1_N3_AKR.1.fq,forward
SC1.N3.AKR,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/SC1_N3_AKR.2.fq,reverse
SC1.N4.AKR,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/SC1_N4_AKR.1.fq,forward
SC1.N4.AKR,/home/zyj/workspace2/2021_05/parent_inoculation_nodu/SC1_N4_AKR.2.fq,reverse
